x,y,x_WC,y_WC,Anchor0,RSSI0,Anchor1,RSSI1,Anchor2,RSSI2,Anchor3,RSSI3,RP_head
0.55,0.19,2.45,2.87,0.0,-68.91333333333333,1.0,-74.97333333333333,2.0,-77.37,3.0,-65.78666666666666,22.0
0.55,1.19,2.6,2.87,0.0,-71.295,1.0,-73.585,2.0,-77.235,3.0,-67.0,22.0
0.55,2.19,2.51,2.61,0.0,-73.185,1.0,-80.12,2.0,-75.645,3.0,-67.36,22.0
0.55,3.19,2.72,3.16,0.0,-69.86,1.0,-80.52,2.0,-77.2,3.0,-80.34,10.0
0.55,4.19,2.2,3.09,0.0,-62.68,1.0,-76.56,2.0,-78.575,3.0,-66.165,10.0
0.55,5.19,2.41,3.43,0.0,-64.19,1.0,-78.15,2.0,-80.655,3.0,-77.385,10.0
1.55,0.19,2.92,3.1,0.0,-72.95333333333333,1.0,-69.90333333333334,2.0,-77.24333333333334,3.0,-71.90666666666667,22.0
1.55,1.19,2.68,2.91,0.0,-74.49,1.0,-77.475,2.0,-79.43,3.0,-72.545,22.0
1.55,2.19,2.26,2.76,0.0,-72.765,1.0,-85.345,2.0,-81.92,3.0,-70.4,8.0
1.55,3.19,2.91,2.67,0.0,-79.25,1.0,-71.84,2.0,-75.41,3.0,-67.22,22.0
1.55,4.19,2.63,3.16,0.0,-66.74,1.0,-76.485,2.0,-75.79,3.0,-74.495,10.0
1.55,5.19,2.55,3.08,0.0,-63.49333333333333,1.0,-77.71666666666667,2.0,-72.01,3.0,-72.65333333333334,10.0
2.55,0.19,2.96,2.87,0.0,-77.99666666666667,1.0,-73.67,2.0,-77.26,3.0,-72.64,22.0
2.55,1.19,3.05,2.35,0.0,-78.75,1.0,-76.04,2.0,-67.41,3.0,-67.72666666666667,13.0
2.55,2.19,3.12,2.73,0.0,-78.39,1.0,-73.82666666666667,2.0,-72.45333333333333,3.0,-73.04666666666667,22.0
2.55,3.19,3.19,2.65,0.0,-75.705,1.0,-69.715,2.0,-67.11,3.0,-68.71,13.0
2.55,4.19,2.77,3.17,0.0,-68.09,1.0,-76.21,2.0,-75.11,3.0,-77.105,10.0
2.55,5.19,2.6,3.11,0.0,-68.15,1.0,-77.52666666666667,2.0,-76.92333333333333,3.0,-74.34333333333333,10.0
3.55,1.19,3.06,2.2,0.0,-82.28,1.0,-76.82,2.0,-67.545,3.0,-66.42,13.0
3.55,2.19,2.99,3.01,0.0,-72.23,1.0,-73.3,2.0,-73.48666666666666,3.0,-75.08,10.0
3.55,3.19,2.99,2.79,0.0,-76.105,1.0,-75.49,2.0,-73.6575,3.0,-73.57,22.0
3.55,4.19,2.89,2.97,0.0,-71.49666666666667,1.0,-77.73333333333333,2.0,-73.58333333333333,3.0,-77.01,10.0
3.55,5.19,2.8,2.89,0.0,-75.04,1.0,-73.57333333333334,2.0,-77.64666666666666,3.0,-70.39,22.0
4.55,1.19,3.37,2.59,0.0,-75.46666666666667,1.0,-73.86666666666666,2.0,-64.32666666666667,3.0,-75.03333333333333,31.0
4.55,2.19,3.56,2.03,0.0,-85.445,1.0,-80.2275,2.0,-61.7275,3.0,-73.985,13.0
4.55,3.19,3.4,3.2,0.0,-76.7375,1.0,-71.4825,2.0,-74.3775,3.0,-83.76,31.0
4.55,4.19,3.37,2.67,0.0,-82.57666666666667,1.0,-73.58666666666667,2.0,-71.17666666666666,3.0,-75.76333333333334,31.0
4.55,5.19,3.18,2.94,0.0,-77.415,1.0,-70.71,2.0,-74.14,3.0,-74.16,22.0
5.55,1.19,3.53,2.6,0.0,-80.19,1.0,-75.77666666666667,2.0,-66.66666666666667,3.0,-80.05333333333333,31.0
5.55,2.19,3.57,2.53,0.0,-83.63666666666667,1.0,-72.33666666666667,2.0,-66.7,3.0,-75.60666666666667,31.0
5.55,3.19,3.55,3.08,0.0,-77.8,1.0,-66.88666666666667,2.0,-70.63,3.0,-79.0,31.0
5.55,4.19,3.53,2.79,0.0,-78.85333333333334,1.0,-70.77666666666667,2.0,-67.73333333333333,3.0,-78.02333333333333,31.0
5.55,5.19,3.64,2.97,0.0,-84.67666666666666,1.0,-66.24,2.0,-72.6275,3.0,-76.74,31.0
