x,y,x_WC,y_WC,Anchor0,RSSI0,Anchor1,RSSI1,Anchor2,RSSI2,Anchor3,RSSI3,RP_head
0.55,0.19,0.33,1.65,0.0,-66.07558139534883,1.0,-77.0091743119266,2.0,-81.59139784946237,3.0,-61.29712460063898,0.0
0.55,1.19,1.84,3.17,0.0,-71.37931034482759,1.0,-74.7976653696498,2.0,-78.28270042194093,3.0,-71.46049661399549,1.0
0.55,2.19,1.01,2.32,0.0,-69.89855072463769,1.0,-78.4176245210728,2.0,-77.50390625,3.0,-67.39268292682927,1.0
0.55,3.19,1.04,4.85,0.0,-66.69196428571429,1.0,-79.8157894736842,2.0,-78.88764044943821,3.0,-80.40969162995594,16.0
0.55,4.19,0.67,1.69,0.0,-68.58990536277602,1.0,-73.48295454545455,2.0,-80.99065420560747,3.0,-62.67399267399267,0.0
0.55,5.19,0.66,3.7,0.0,-66.52363636363637,1.0,-77.12258064516129,2.0,-86.15702479338843,3.0,-68.94117647058823,0.0
1.55,0.19,1.49,4.61,0.0,-65.7192118226601,1.0,-72.43934426229508,2.0,-77.7469387755102,3.0,-74.01152073732719,1.0
1.55,1.19,0.98,1.77,0.0,-68.76573426573427,1.0,-74.94604316546763,2.0,-74.18545454545455,3.0,-63.8421052631579,1.0
1.55,2.19,0.58,4.01,0.0,-66.73384030418251,1.0,-88.83157894736843,2.0,-79.60829493087557,3.0,-72.28682170542636,28.0
1.55,3.19,2.12,1.76,0.0,-78.9570200573066,1.0,-72.125,2.0,-75.43511450381679,3.0,-67.1123188405797,9.0
1.55,4.19,1.27,3.69,0.0,-66.80630630630631,1.0,-72.11627906976744,2.0,-81.28350515463917,3.0,-68.5546875,1.0
1.55,5.19,1.52,4.35,0.0,-64.13684210526316,1.0,-77.37002341920375,2.0,-70.62937062937063,3.0,-77.30574712643678,16.0
2.55,0.19,2.43,2.11,0.0,-80.20848056537102,1.0,-74.71686746987952,2.0,-77.7625,3.0,-70.90066225165563,9.0
2.55,1.19,1.97,1.04,0.0,-78.25449101796407,1.0,-81.5945945945946,2.0,-72.77732793522267,3.0,-68.55087719298245,9.0
2.55,2.19,1.19,0.78,0.0,-81.49425287356321,1.0,-80.03870967741935,2.0,-76.41545893719807,3.0,-66.36324786324786,9.0
2.55,3.19,2.61,1.05,0.0,-76.73988439306359,1.0,-73.96407185628742,2.0,-67.77350427350427,3.0,-65.75720164609054,9.0
2.55,4.19,1.91,4.09,0.0,-69.55454545454545,1.0,-79.65137614678899,2.0,-75.63424124513618,3.0,-81.15611814345992,16.0
2.55,5.19,2.18,2.86,0.0,-70.01470588235294,1.0,-85.01142857142857,2.0,-71.82511210762331,3.0,-75.03603603603604,16.0
3.55,1.19,3.46,0.76,0.0,-81.31922611850061,1.0,-79.0158013544018,2.0,-67.72081218274111,0.0,-69.44444444444444,9.0
3.55,2.19,3.24,4.52,1.0,-72.83783783783784,2.0,-71.93877551020408,3.0,-79.42201834862385,0.0,-81.25443786982248,26.0
3.55,3.19,2.7,2.92,1.0,-73.08510638297872,2.0,-73.1980198019802,3.0,-74.3109756097561,0.0,-72.18604651162791,1.0
3.55,4.19,3.04,1.97,1.0,-78.45128205128205,2.0,-71.99074074074075,3.0,-71.70068027210884,0.0,-69.31055900621118,9.0
3.55,5.19,1.61,3.67,1.0,-65.64638783269962,2.0,-79.3920704845815,3.0,-70.76433121019109,0.0,-72.6470588235294,16.0
4.55,1.19,3.76,5.04,1.0,-65.86220472440945,2.0,-64.04545454545455,3.0,-71.5823754789272,0.0,-84.23913043478261,26.0
4.55,2.19,4.99,4.73,1.0,-87.47407407407407,2.0,-62.62277580071174,3.0,-78.94252873563218,0.0,-71.0859375,9.0
4.55,3.19,2.62,4.77,1.0,-69.24710424710425,2.0,-70.85496183206106,3.0,-79.14393939393939,0.0,-79.16666666666667,26.0
4.55,4.19,3.5,4.6,1.0,-71.35416666666667,2.0,-69.99738219895288,3.0,-76.52132701421802,0.0,-82.16245487364621,26.0
4.55,5.19,2.72,3.91,1.0,-74.82918149466192,2.0,-76.2401055408971,0.0,-80.41071428571429,1.0,-79.95087719298246,16.0
5.55,1.19,0.45,3.14,2.0,-67.53497942386831,3.0,-88.31958762886597,0.0,-81.29467680608364,1.0,-68.77294685990339,28.0
5.55,2.19,0.38,2.48,2.0,-64.759009009009,3.0,-76.3119658119658,0.0,-83.66492146596859,1.0,-62.93150684931507,0.0
5.55,3.19,0.45,3.1,2.0,-64.63380281690141,3.0,-80.2988047808765,0.0,-78.69594594594595,1.0,-65.375,0.0
5.55,4.19,0.36,1.22,2.0,-72.13986013986013,3.0,-84.31210191082802,0.0,-83.53429602888086,1.0,-64.58282208588957,28.0
