x,y,x_WC,y_WC,Anchor0,RSSI0,Anchor1,RSSI1,Anchor2,RSSI2,Anchor3,RSSI3,RP_head
0.545,0.19,1.37,2.56,0.0,-68.27857142857142,1.0,-73.09565217391304,2.0,-74.72106261859582,3.0,-66.19560878243513,8.0
0.545,1.19,0.4,0.41,0.0,-79.10526315789474,1.0,-74.31648936170212,2.0,-80.48863636363636,3.0,-59.6028880866426,3.0
0.545,2.19,0.8,0.94,0.0,-68.60944206008584,1.0,-81.17688679245283,2.0,-69.66666666666667,3.0,-60.8970189701897,2.0
0.545,3.19,1.62,2.07,0.0,-76.28148148148148,1.0,-75.31203007518798,2.0,-81.04126984126984,3.0,-69.02298850574712,3.0
0.545,4.19,0.32,3.2,0.0,-62.75852272727273,1.0,-81.50625,2.0,-77.88647342995169,3.0,-63.82072829131653,2.0
0.545,5.19,0.65,5.34,0.0,-61.96666666666667,1.0,-79.29347826086956,2.0,-75.12612612612612,3.0,-86.37002341920375,30.0
1.545,0.19,2.47,2.27,0.0,-81.28378378378379,1.0,-71.55865921787709,2.0,-79.01293103448276,3.0,-68.89398734177215,3.0
1.545,1.19,3.04,1.7,0.0,-81.61032863849765,1.0,-73.23444976076556,2.0,-71.97171381031615,3.0,-69.68036529680366,32.0
1.545,2.19,2.62,3.05,0.0,-70.42784810126582,1.0,-72.26530612244898,2.0,-72.2170818505338,3.0,-71.38888888888889,8.0
1.545,3.19,2.3,3.77,0.0,-72.16195856873823,1.0,-76.4332784184514,2.0,-77.86427457098284,3.0,-77.50701754385965,30.0
1.545,4.19,4.64,2.69,0.0,-83.48148148148148,1.0,-71.1522491349481,2.0,-71.4620253164557,3.0,-76.69087136929461,32.0
1.545,5.19,1.92,3.57,0.0,-66.46816479400749,1.0,-73.30333333333333,2.0,-71.50463821892393,3.0,-71.0048076923077,8.0
2.545,0.19,3.27,3.61,0.0,-74.40133779264214,1.0,-71.9585798816568,2.0,-76.41798941798942,3.0,-75.60714285714286,30.0
2.545,1.19,4.17,0.83,0.0,-78.83742331288343,1.0,-72.78888888888889,2.0,-63.58064516129032,3.0,-67.67097966728281,32.0
2.545,2.19,2.96,2.37,0.0,-73.56906077348066,1.0,-71.43052391799544,2.0,-70.98715203426124,3.0,-69.52508361204013,8.0
2.545,3.19,4.65,2.97,0.0,-74.87654320987654,1.0,-65.73983739837398,2.0,-66.64805825242719,3.0,-71.78861788617886,8.0
2.545,4.19,1.81,4.03,0.0,-66.42271293375394,1.0,-72.1,2.0,-74.2124183006536,3.0,-71.92291220556746,8.0
2.545,5.19,2.81,4.45,0.0,-66.256,1.0,-66.44017094017094,2.0,-73.82592592592593,3.0,-71.67952522255193,8.0
3.545,1.19,3.04,0.82,0.0,-82.64156626506023,1.0,-74.44597249508841,2.0,-67.12578616352201,3.0,-66.47333333333333,32.0
3.545,2.19,2.19,2.87,0.0,-69.83055555555555,1.0,-76.31363636363636,2.0,-72.11353711790393,3.0,-71.69055374592834,8.0
3.545,3.19,1.78,0.75,0.0,-75.74517374517374,1.0,-77.76427703523694,2.0,-68.82813582813583,3.0,-64.13153456998313,2.0
3.545,4.19,2.42,4.06,0.0,-69.48375451263539,1.0,-73.6,2.0,-75.1013986013986,3.0,-77.29317269076306,30.0
3.545,5.19,1.24,1.46,0.0,-73.47133757961784,1.0,-82.29741379310344,2.0,-74.87889273356402,3.0,-67.35849056603773,2.0
4.545,1.19,4.18,0.65,0.0,-78.18705035971223,1.0,-83.78911564625851,2.0,-65.72932330827068,3.0,-71.58064516129032,32.0
4.545,2.19,5.39,0.25,0.0,-85.79918032786885,1.0,-76.36995515695067,2.0,-59.735099337748345,3.0,-70.86486486486487,32.0
4.545,3.19,4.52,5.48,0.0,-68.51689189189189,1.0,-62.7071129707113,2.0,-78.54079254079254,3.0,-83.09740259740259,30.0
4.545,4.19,4.56,4.26,0.0,-78.13563829787235,1.0,-68.97844827586206,2.0,-76.48125,3.0,-79.72445820433437,30.0
4.545,5.19,4.08,3.79,0.0,-72.8477508650519,1.0,-67.2433155080214,2.0,-71.72146118721462,3.0,-73.99295774647888,8.0
5.545,1.19,5.03,2.2,0.0,-81.87336244541484,1.0,-68.28710462287104,2.0,-66.24545454545455,3.0,-74.328125,32.0
5.545,2.19,5.43,0.5,0.0,-81.55029585798816,1.0,-75.77329192546584,2.0,-61.77022653721683,3.0,-75.52394366197183,32.0
5.545,3.19,3.31,4.45,0.0,-72.3264705882353,1.0,-71.73684210526316,2.0,-77.52920962199313,3.0,-82.07165109034268,30.0
5.545,4.19,4.42,1.69,0.0,-76.42682926829268,1.0,-74.03643724696356,2.0,-67.31952662721893,3.0,-75.25720620842571,32.0
5.545,5.19,3.5,1.27,0.0,-80.96280991735537,1.0,-77.00753768844221,2.0,-70.0,3.0,-71.67857142857143,32.0
